Page,Date,Post Text,Media Type,Likes,Comments,Shares,Media Link
3Dadept,2024-04-04,"For Professor Nabil Anwer, CIRP Fellow, Professor at Université Paris-Saclay, Deputy Director of LURPA at École normale supérieure Paris-Saclay, and expert in shape engineering and 3D reconstruction:“ hashtag#Théia addresses two major challenges: on the one hand, reading, understanding and interpreting the information present on the drawing, and on the other, obtaining a 3D shape from its representation on 2D plans, while respecting the geometric and dimensional specifications of the original object. The development of Théia is the result of a harmonious marriage between new developments in AI (deep learning, segmentation, automatic labeling, etc.), mastery of classic computer vision technologies (optical symbol recognition, feature matching) and semantic analysis of technical drawings. This combination makes it possible to identify the various semantic layers of the 2D drawing and thus to interpret the technical drawing in an optimal way for its 3D reconstruction”. Spare Parts 3D - hashtag#3dmodelling hashtag#3dprinting hashtag#DigiPARTTMhttps://lnkd.in/enN6EnCD



…see more",Article,13,0,1 repost,https://3dadept.com/spare-parts-3d-introduces-theia-a-digital-tool-that-can-automatically-create-3d-models-from-2d-technical-drawings/
3Dadept,2024-04-04,"Beyond the investment of Sodick Co., Ltd. in Prima Additive, the collaboration between the two companies will bring commercial synergies that will allow the promotion and cross-selling of the products of the two brands in the markets of hashtag#Japan, hashtag#Europe and the hashtag#UnitedStates. Read more below 👇hashtag#additivemanufacturing hashtag#investment Mention: Paolo Calefatihttps://lnkd.in/eF3u-aNP



…see more",Article,4,0,0,https://3dadept.com/sodick-acquires-a-minority-share-in-metal-3d-printing-company-prima-additive/
3Dadept,2024-03-28,"@Paul Senior, Micromaterials Product Manager, Malvern Panalytical, said: “We had a challenging task to improve upon our own market-leading laser diffraction instrument, the hashtag#Mastersizer 3000! But we have made significant leaps forward, especially in the Mastersizer 3000+ software where we’re thrilled to bring our customers an even smarter way to measure particle size. I’m particularly excited to see how the hashtag#Mastersizer 3000+’s use of cutting-edge, integrated AI will simplify the route to achieve best-quality particle size data, positively impacting product research, development and manufacturing across the world.”hashtag#laserdiffraction hashtag#additivemanufacturing https://lnkd.in/diKN6ZtY



…see more",Article,3,0,0,https://3dadept.com/malvern-panalytical-unveils-new-laser-diffraction-particle-sizing-instrument-for-additive-manufacturing/
3Dadept,2024-03-28,"With about 3,500 exhibitors several of which are hashtag#AdditiveManufacturing companies and more than 125,000 visitors, HANNOVER MESSE is a show that goes beyond the AM ecosystem as it combines industrial, political and social communities that all share the same vision for fostering solutions for large-scale hashtag#production and hashtag#energy supply of the future. Read more below 👇https://lnkd.in/enb7kqHi



…see more",Article,4,0,0,https://3dadept.com/hannover-messe-2024-energizing-a-sustainable-industry/
3Dadept,2024-02-11,"Reflection regarding the role of trade media is of paramount importance with the growing number of newcomers that turn stealth mode off in the AM industry.As a matter of fact, one of the common threads across our conversations last year was the importance of trade media for companies in developing their company. As we continuously reflect on the way we work, and what we should do better, we highlight below 5 reasons why you should work with trade media.Read the full article here 👉 https://lnkd.in/ezCBXdGr hashtag#additivemanufacturing hashtag#trademedia hashtag#industry hashtag#3dprint hashtag#3dprinting



…see more",Unknown,6,0,2 reposts,None
3Dadept,2024-03-28,"“We are confident that by incorporating the hashtag#3dprinting technology into our production process, we would be able to cater into more markets for Technical Ceramics. We are satisfied with the Installation, Training, and Support extended by Shree Rapid Technologies on behalf of 3DCeram Sinto Sinto,” stated Prathap Kumar, Business Head – Industrial Ceramics Divisionat CUMI.hashtag#additivemanufacturing hashtag#ceramics https://lnkd.in/ea254MQu



…see more",Article,28,0,1 repost,https://3dadept.com/3dceram-to-support-cumi-in-its-ceramic-3d-printing-journey/
3Dadept,2024-03-28,"Westinghouse Electric Company continues to lead the way for the integration of hashtag#additivemanufacturing in the hashtag#nuclear industry. The AM flow plates we are referring to today, are installed in VVER-440 fuel assemblies, enabling a redesign of the assemblies’ bottom part which results in a more robust performance.Mentions: Lou Martinez Sancho, MSc, MBBhttps://lnkd.in/eGKYq2Bb



…see more",Article,6,0,1 repost,https://3dadept.com/new-milestone-for-the-use-of-am-in-the-nuclear-industry-westinghouse-3d-prints-its-1000th-fuel-flow-plate/
3Dadept,2024-03-21,"The new system would complement the hashtag#PostPro SFX’s (AMT’s desktop chemical vapor smoothing system) by enabling cleaning for hashtag#3dprinted parts in a cost-effective and compact form. Read more about AMT PostPro 👇 hashtag#additivemanufacturing hashtag#depowderinghttps://lnkd.in/e_bKCbCB



…see more",Article,20,0,2 reposts,https://3dadept.com/amt-unveils-depowdering-system-for-non-industrial-3d-printing-market-segment/
3Dadept,2024-03-28,"“A year ago, it took an hour for AI models to generate hashtag#3Dvisuals of this quality — and the current state of the art is now around 10 to 12 seconds,” said Sanja Fidler, vice president of AI research at NVIDIA, whose Toronto-based AI lab team developed hashtag#LATTE3D. “We can now produce results an order of magnitude faster, putting near-real-time text-to-3D generation within reach for creators across hashtag#industries.”hashtag#software hashtag#research hashtag#3dmodelshttps://lnkd.in/ectu8Wpa



…see more",Article,12,0,2 reposts,https://3dadept.com/nvidias-latte3d-model-transforms-text-into-3d-generative-ai-model/
3Dadept,2024-03-21,"If AMUG (Additive Manufacturing Users Group) lives up to its mission to share expertise, best practices, challenges, and application developments in hashtag#AdditiveManufacturing, the moments that truly transformed Kety Sindze’s experience were: the hashtag#keynote speeches, the non-technical hashtag#sessions and the workshops. Here is why 👇she believes that the true magic of AMUG is found in stolen moments.Mentions: Edward Graham (AMUG🦕), Olaf Diegel, Jason Lopes (AMUG🦕), Gentle Giant Studios, John Thiell (Beehive Industries), Sarah Jordan (Skuld LLC), Lisa D. Block ( Hybrid Manufacturing Technologies), Ben DiMarco (The Ohio State University), Shannon VanDeren (AMUG 🦕) ( Layered Manufacturing and Consulting), Paul DeWys ( Forerunner 3D Printing), Chris Beck ( Innovative 3d Manufacturing), Jay Dinsmore (AMUG 🦕) (@Dinsmore, Inc.) and Mike Littrell (@BuildParts by CIDEAS Inc. ), (In memory of Graham Tromans), Todd Grimm https://lnkd.in/eNU8AW3F



…see more",Article,67,0,8 reposts,https://3dadept.com/the-magic-of-amug-is-found-in-stolen-moments/
3Dadept,2024-03-11,"While the eco-friendly benefits of hashtag#3dprinting in the hashtag#construction industry are well-known, due to the stringent hashtag#regulatory requirements, it often takes a lot of time to properly use the technology in this industry. This license is a reminder that ensuring regulatory compliance is a critical part of embracing hashtag#technological advancements.hashtag#additivemanufacturinghttps://lnkd.in/eRtJ48sJ



…see more",Article,11,0,2 reposts,https://3dadept.com/dubai-approves-first-license-for-construction-using-3d-printing/
3Dadept,2024-03-11,"In the meantime, Nexa3D has added 3D-Fuel to its portfolio of hashtag#additivemanufacturing companies. The latter already includes XYZprinting, Addifab, a Nexa3D Company and Essentium (A Nexa3D Company). John Schneider hashtag#acquisitionshttps://lnkd.in/ejBiPRGF



…see more",Article,2,0,0,https://3dadept.com/nexa3d-acquires-3d-printing-materials-company-3d-fuel/
3Dadept,2024-03-28,"Described as a ""world's first"", this hashtag#powder would create opportunities for those who are looking to 3D print hashtag#steel without hashtag#fossil carbon dioxide emissions. It would combine the properties of SSAB’s high-strength steel with the light structural possibilities of hashtag#3dprinting. Read more about SSAB's emission-free steel powder below 👇hashtag#additivemanufacturing hashtag#materials Johnny Sjöströmhttps://lnkd.in/eiXvnGjD



…see more",Article,4,0,0,https://3dadept.com/ssab-unveils-an-emission-free-steel-powder-for-additive-manufacturing/
3Dadept,2024-03-21,"Given the fact that hashtag#LPBF accounts for over 52% of the industry’s global revenue (figures of 2022), it makes sense to see a continuous focus on this process to reduce the manufacturing hashtag#cost associated with this process. Meet Materialise e-Stage for Metal+, a hashtag#software solution uses physics-based modeling to automate the support structure generation.hashtag#additivemanufacturing Ian O'Loughlinhttps://lnkd.in/eTx97FYB



…see more",Article,13,0,1 repost,https://3dadept.com/materialise-new-software-aims-to-optimize-data-and-build-preparation-for-metal-3d-printing/
3Dadept,2024-03-11,"qualloy aims to make purchasing metal powders cheaper and more transparent, by providing a user-friendly platform that connects buyers with certified suppliers from around the globe.hashtag#additivemanufacturing hashtag#metal hashtag#powders Mentions: Yannik Wilkens, Dr. Tobias Brune and @Daniel Hariri https://lnkd.in/eFt5FZzt



…see more",Article,11,0,4 reposts,https://3dadept.com/qualloy-officially-launches-a-marketplace-for-metal-3d-printing-powders/
3Dadept,2024-01-11,"Once per year, we sit down to assess some of the key insights we collected from our conversations with OEMs using AM and from (potential) users of the technology at trade shows we visited. Doing that enables us to determine issues or solutions that are common to industries. One thing we learned from last year’s insights is that the need to qualify and certify 3D printed parts remains a barrier to more extensive use of AM across platforms. Truth be told, the conversation about “hashtag#qualification” and hashtag#certification” is not a new one at 3D ADEPT (3DA) Media but as this hashtag#technology is entering a maturation stage, there is a need to document and characterize qualification efforts, (to attempt) to provide a framework that could help hashtag#industries. That's what we did below 👇 - with contributions from Chuck Nostedt ( Jabil) and John Barnes ( The Barnes Global Advisors) hashtag#additivemanufacturing hashtag#TBH hashtag#3DAdeptMag



…see more",Article,22,0,4 reposts,https://3dadept.com/dossier-qualification-of-3d-printed-parts-what-why-when-and-most-importantly-how/
3Dadept,2024-03-11,"MIMO Technik, LEAP 71 and ASTRO Test Lab signed an agreement at hashtag#AMUG2024 to create an end-to-end workflow for the design, manufacturing, and validation of computationally engineered products primarily in hashtag#aerospace. Even though aerospace is a key focus, this workflow will also benefit to those who work in hashtag#mobility, hashtag#heating and hashtag#cooling. Read more below 👇Mentions: Josefine Lissner, Jonathan Aaron Cohen, Humna Khanhashtag#additivemanufacturing https://lnkd.in/eMWrNvqi



…see more",Article,31,0,3 reposts,https://3dadept.com/mimo-technik-astro-test-lab-to-leverage-leap-71s-computational-engineering-models-for-aerospace-am/
3Dadept,2024-03-11,"Developed for both hashtag#additivemanufacturing and hashtag#MIM, this metal powder is manufactured by hashtag#InertGasAtomization (IGA), producing a powder with a spherical morphology which provides good flow characteristics and high packing hashtag#density.hashtag#powder Mentions: Eleonora Bettinihttps://lnkd.in/e6avyWmh



…see more",Article,1,0,1 repost,https://3dadept.com/sandvik-unveils-new-copper-based-alloy-designed-for-am-mim/
3Dadept,2024-01-11,"Traditional hashtag#monitoring methods include thermal imaging and machine learning algorithms, which may lead to different interpretations or elusive precision manufacturing.According to a research team from the Laboratory of Thermomechanical Metallurgy (LMTM) at EPFL’s School of Engineering, it would be possible to detect defects in real-time based on the differences in the sound the printer makes during a flawless print and one with irregularities. hashtag#3dprinter hashtag#metal hashtag#3dprinting



…see more",Article,0,0,0,https://3dadept.com/identifying-defects-by-listening-for-them-as-they-occur-in-a-metal-3d-printer/
3Dadept,2024-03-11,"Across the world, several organizations have been exploring the use of hashtag#3dprinting for breast hashtag#implants. While several developments are still in progress, the common thread across these research projects is to provide personalized, precise, and accessible solutions.Researchers from the University of East Anglia (UEA) are the latest research team that has decided to explore the use of 3D printing for breast reconstruction and breast-conserving surgeries. Here is how their research is going 👇hashtag#breast hashtag#surgeryhttps://lnkd.in/eTdzixST



…see more",Article,3,0,0,https://3dadept.com/when-3d-printing-helps-to-enhance-breast-reconstruction-surgery/
3Dadept,2024-03-11,"“The hashtag#copper powder markets have encountered headwinds over the past few years, but we remain committed to ensuring Kymera and Royal’s customers receive timely and high-quality supply of these critical materials for decades to come,” comments Barton White, CEO of Kymera International. “As demonstrated by our recent $20 million expansion of our North Carolina facility, Kymera is positioned to provide uninterrupted, long-term supply for the entire market.”hashtag#materials hashtag#powder hashtag#metal hashtag#additivemanufacturing Michael Lutheran - Royal Metal Powders Inc. - Adam Shebitz - Palladium Equity Partners, LLChttps://lnkd.in/dHFGcb-y



…see more",Article,4,0,0,https://3dadept.com/additive-manufacturing-material-provider-kymera-international-acquires-royal-metal-powders/
3Dadept,2024-03-11,"Lazer Sport NV , Belgian cycling helmet manufacturer, has recently brought to market hashtag#KinetiCore, a proprietary rotational impact protection technology. The manufacturer’s goal was to provide on- and off-road cyclists protection against both direct and rotational impact. To do so, the engineering team relied on Siemens Xcelerator portfolio from Siemens Digital Industries Software . Here is how. 👇hashtag#software hashtag#3dprinting hashtag#sports hashtag#helmet Mentions: Emiel Spreeuwers - @Hadi Ghiaballoo https://lnkd.in/dQjexY7f



…see more",Article,4,0,2 reposts,https://3dadept.com/lazer-sport-unveils-new-bike-helmet-made-with-siemens-xcelerator-portfolio-3d-printing/
3Dadept,2024-03-11,"For M&H-CEO Patrick Herzig, the key benefit lies in the precision of the system: “With the Solukon system, we can efficiently and thoroughly remove hashtag#powder residue from complex parts with internal channels and cavities. This feature is a decisive advantage, as such complex geometries often present a challenge in post-processing and powder residues in the components could mean a loss of performance. With the introduction of the SFM-AT1000-S, we are setting new standards in the post-processing of hashtag#3dprinted parts in titanium, aluminum, stainless steel and materials such as hashtag#Scalmalloy and Inconel. This technology enables us to further increase the quality of our products and make our production processes more efficient and even safer through series hashtag#cleaning.”Mentions: M&H CNC Technik GmbH _ Solukon Maschinenbau GmbH - Andreas Hartmannhashtag#depowdering hashtag#metal hashtag#additivemanufacturing https://lnkd.in/dMwj7NjQ



…see more",Article,12,0,1 repost,https://3dadept.com/mh-bets-on-a-solukon-system-for-depowdering-of-metal-3d-printed-parts/
3Dadept,2024-03-11,"It’s a unique solution that combines implants, guides, and digital planning to streamline patient-specific TMJ treatment, all sourced from a single company. This new solution provides a personalized treatment for patients facing severe TMJ complications that require a joint replacement. Read more below 👇hashtag#additivemanufacturing hashtag#healthcare Materialisehttps://lnkd.in/eTshtUsV



…see more",Article,1,0,0,https://3dadept.com/3d-printing-company-materialise-could-enhance-jaw-treatments-with-a-3-in-1-solution/
3Dadept,2024-03-11,"The story goes that AMUG (Additive Manufacturing Users Group) started in 1988 with just a handful of people meeting to share knowledge of hashtag#3dprinting. At the time, the founding industry users group was called 3D Systems North American Stereolithography Users Group, users group solely focused on the advancement of stereolithography (SL) use with the owners and operators of 3D Systems Corporation’ equipment. Today, AMUG educates and supports users of all hashtag#additivemanufacturing technologies. And the best part is, while AM companies can provide support in the organization of the event, this “open space” style has allowed users to shape the development of hardware, software, materials, and applications based on their needs.To help the industry prepare for the 2024 edition of this important event for the AM community, we asked Shannon VanDeren (AMUG 🦕), President of AMUG, to share the highlights of their 2023 event and what will make their event worthy to be attended in 2024. Read more 👇hashtag#Event hashtag#Chicago hashtag#USAhttps://lnkd.in/ePUmWu8s



…see more",Article,21,0,3 reposts,https://3dadept.com/shanon-vanderen-president-of-amug-on-what-to-expect-from-amug-2024/
3Dadept,2024-03-11,"“We believe that ADDiTEC Racing will not only showcase our technological prowess but also serve as a catalyst for accelerating our presence in the automotive sector,” said Brian Matthews, CEO at ADDiTEC. “By competing at the highest level of hashtag#motorsports and demonstrating the capabilities of our hashtag#additivemanufacturing solutions, we aim to raise awareness and drive adoption of our technology within the industry.”Meet hashtag#ADDiTECRacing 👇https://lnkd.in/eRQWXa4z



…see more",Article,16,0,2 reposts,https://3dadept.com/additecs-new-division-leverages-its-expertise-in-additive-manufacturing/
3Dadept,2024-03-11,"While hashtag#aerospace hashtag#additivemanufacturing has been the foundation of this new hashtag#toolkit, it should be noted that the solution would be ideal for all regulated industries seeking to advance AM to meet critical use hashtag#applications – that is medical, energy and more. Discover the key specifications of  “True Layer Thickness” 👇. Phase3D hashtag#AMUG2024 https://lnkd.in/erEJPh6z



…see more",Article,7,0,0,http://3dadept.com/new-tool-from-phase3d-can-measure-the-quantity-of-metal-3d-printing-powder-spread-across-the-build-area/
3Dadept,2024-03-11,"Even though hashtag#polypropylene is one of the most employed hashtag#polymers currently, it doesn’t exist any commercial polymer powder derived from recycled polypropylene to be employed for SLS hashtag#3dprinting. This new research 👇 aims to change that. Mention: Andaltec Centro Tecnológico - hashtag#research https://lnkd.in/eEJyFY6H



…see more",Article,6,0,1 repost,https://3dadept.com/new-research-to-explore-the-development-of-an-sls-3d-printing-material-from-recycled-polypropylene/
3Dadept,2024-03-11,"In recent years, hashtag#3dprinting technology has found new applications beyond its traditional scope in hashtag#manufacturing and hashtag#prototyping. One of its uses is in hashtag#disaster relief and hashtag#humanitarian assistance, providing unparalleled abilities to meet urgent requirements during emergencies. In the article below 👇, Sander Wagenaar discusses the creative utilization of 3D printing in critical situations, showcasing practical applications, cooperative projects, and upcoming possibilities. hashtag#additivemanufacturing https://lnkd.in/eFUK3zvR



…see more",Article,6,0,1 repost,https://3dadept.com/the-emerging-role-of-3d-printing-in-disaster-relief-and-humanitarian-aid/
3Dadept,2024-03-11,"Several CAD hashtag#software options are on the market, each with different features. Mechanical design with CAD uses mechanical CAD (MCAD) software to design mechanical components of machines and engines.The article below discusses several reasons why this software is essential for modern designs 👇hashtag#additivemanufacturing hashtag#design https://lnkd.in/ePbSwsHw



…see more",Article,3,0,1 repost,https://3dadept.com/what-makes-cad-mechanical-software-essential-for-modern-mechanical-design/
3Dadept,2024-03-11,"UK’s definitive industrial hashtag#3dprinting event returns to NEC Birmingham, from June 5th to 6th. Visitors can now register for free and start taking advantage of hashtag#TCT3Sixty’s preshow networking features and recommendations.The TCT Group hashtag#event hashtag#UK hashtag#additivemanufacturing https://lnkd.in/eaB4VcuY



…see more",Article,6,0,5 reposts,https://3dadept.com/registration-is-now-open-for-tct-3sixty-2024/
3Dadept,2024-02-11,"Prototal | UK has always been recognized as a competent partner in the manufacture of hashtag#polymer components. With CA Models Limited, the company will now be able to provide hashtag#metal hashtag#additivemanufacturing services along with 5-axis CNC machining, CNC turning, EDM wire erosion, CMM inspection, 3D scanning and other types of polymer additive manufacturing such as SLA and SLS, requiring highly intricate model making skills.Mentions: Gregory Campbell - Jan Löfving hashtag#acquisitionhttps://lnkd.in/e9DGmn9T



…see more",Article,25,0,1 repost,https://3dadept.com/3d-printing-service-bureau-prototal-acquires-ca-models/
3Dadept,2024-02-11,"This announcement is the first Evonik High Performance Polymers made since the beginning of 2024 – after a year marked by key collaborations with both hashtag#material producers and hashtag#3dprinter manufacturers and the demonstration of the capabilities of its materials across key applications. Read more below 👇hashtag#additivemanufacturing Mentions: Dominic Stoerkle - Vitor Lavinihttps://lnkd.in/emPiaa_4



…see more",Article,3,0,1 repost,https://3dadept.com/evonik-launches-new-photopolymer-for-dlp-3d-printing/
3Dadept,2023-08-11,"Si Se Puede Foundation, based in Arizona, is dedicated to bridging the hashtag#STEM (science, technology, engineering, and mathematics) divide that exists in marginalized societies. Established over 23 years ago, the hashtag#foundation started as an hashtag#advocacy group focused on keeping kids engaged and out of trouble through extracurricular activities, such as soccer and dance. Today, the foundation focuses on providing access to hashtag#technology and hashtag#training for hashtag#students in underrepresented and under-resourced hashtag#communities and hashtag#schools. Here is how they do it. With the help of MakerBot and UltiMaker.hashtag#additivemanufacturing hashtag#school Faridodin ""Fredi"" Lajvardihttps://lnkd.in/e6TuxCND



…see more",Unknown,3,0,0,None
